term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,-1.186100129273008,1.0975573422739697,-1.0806725840998805,0.27984278254703987,-1.186100129273008,1.0975573422739697,-1.0806725840998805,0.27984278254703987
leverage,2.1903450906598483,1.5138985773711504,1.4468241950945826,0.14794616848976924,2.1903450906598483,1.5138985773711504,1.4468241950945826,0.14794616848976924
size,0.015799700516024473,0.0960688942477573,0.16446218768041365,0.8693673112531586,0.015799700516024473,0.0960688942477573,0.16446218768041365,0.8693673112531586
treated,0.3533070190998528,0.1445154696465504,2.4447695458759924,0.014494472580507706,0.3533070190998528,0.1445154696465504,2.4447695458759924,0.014494472580507706
