target_return,expected_return,volatility,sharpe
0.5818447359820869,6.629431801113405,1.0099142316119007,6.564351301924246
1.687626741167601,6.629431801113405,1.0099142316119007,6.564351301924246
2.7934087463531148,6.629431801113405,1.0099142316119007,6.564351301924246
3.8991907515386295,6.629431801113405,1.0099142316119007,6.564351301924246
5.004972756724143,6.629431801113405,1.0099142316119007,6.564351301924246
6.110754761909657,6.629431801113405,1.0099142316119007,6.564351301924246
7.216536767095172,7.216536767095171,1.0113618980726529,7.135464348466843
8.322318772280685,8.322318772280685,1.021888172441498,8.144060178715032
9.428100777466199,9.428100777466199,1.0423138645895735,9.045356775695057
10.533882782651713,10.533882782651713,1.072073297350792,9.825711365707985
11.639664787837226,11.639664787837226,1.1104162844206982,10.482253323499858
