term,coefficient,std_error,t_stat,p_value
Intercept,-0.06968805393294739,0.03538619724125879,-1.9693569630503867,0.0489121141613209
_time_index,0.000401620723233311,0.0003609222091491147,1.1127625650417698,0.2658104169627309
post_treatment,-0.12058295565690577,0.05686872248756994,-2.12037391350337,0.03397452483717606
time_after_treatment,0.0020762324604346634,0.0010118659050033034,2.051884988088303,0.04018084111703003
inflation_gap,-0.03093063815647833,0.0559889446044921,-0.5524418860718568,0.5806456397896778
