term,coefficient,std_error,t_stat,p_value
const,-2.5250270291443555,0.9876789003216656,-2.556526243824799,0.010572309581543544
treated,0.39680360132298315,0.15269804858701352,2.5986160595684913,0.009360039797094887
post,1.0958746617962563,0.1280453901963042,8.558485862834964,1.1435949975049423e-17
did_interaction,1.4600793951482913,0.1733488662114839,8.422780183442383,3.676538758516214e-17
size,1.2334275186655927,0.08928795262831954,13.81404189879907,2.0972602809769308e-43
leverage,-1.4415278322799336,1.3187638499443597,-1.093090193775598,0.2743542010884268
