term,coefficient,std_error,t_stat,p_value
Intercept,0.10089551493571686,0.051333978195200275,1.9654723534586802,0.04935959244128367
_time_index,-0.0011370387278192388,0.0004695967654536397,-2.4213086875094576,0.015464738819323991
post_treatment,0.06574642556050958,0.07052503154471151,0.9322424126648935,0.35121126122312063
time_after_treatment,0.0025469219025298874,0.001463873826315941,1.7398507007530832,0.08188523713743714
inflation_gap,1.9732614633076628,0.06056450041255825,32.58115645082578,7.583566120746728e-233
output_gap,0.9248162120002603,0.06314172256218477,14.64667377563956,1.414739133200787e-48
