term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,6.721754804386354,1.1364174451450633,5.914864148823696,5.3894353424510655e-09,2.2147138380593363,0.9874506783151834,2.2428602123582966,0.02524515880722089
leverage,-1.6830692978390864,1.459626101198749,-1.1530824890407412,0.2493036609651429,-1.7154567513156698,1.39582085346687,-1.228994929438763,0.21952258227682298
size,0.4026950495473883,0.09269813151977599,4.344154978587441,1.6236671896319166e-05,0.8236128522614579,0.10760009658954904,7.654387666613429,7.127631818093505e-14
treated,,,,,0.6910499155555959,0.19606410227323307,3.5246121423724746,0.0004541599067389157
