term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,0.10774651444467054,0.8589998448921848,0.12543251909224043,0.9001811448925257,3.520472205336905,0.7185304797314824,4.89954470219902,9.605899391473827e-07
endogenous_x,0.6127154738586214,0.08434552107303708,7.264351041569289,3.7481129311345285e-13,0.5065604567690617,0.06380801324678985,7.938821959709684,1.9984014443252818e-15
leverage,-2.778840080441597,1.64393847878567,-1.690355275639175,0.09096000598649812,-1.1619510117188152,1.2697703413272448,-0.9150875350453296,0.3601456782208401
post,,,,,2.1233886671195847,0.09244492400416701,22.969229408678746,0.0
size,1.1228012275623769,0.06695955386318996,16.768349888597758,0.0,0.5914182921177928,0.060548623680332606,9.76765872070346,0.0
