term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,-1.900940144495249,1.760460837072709,-1.079796894349623,0.2802326344646584,-1.900940144495249,1.760460837072709,-1.079796894349623,0.2802326344646584
leverage,3.52093643740971,2.4370795101047946,1.4447359730410723,0.14853206144962164,3.52093643740971,2.4370795101047946,1.4447359730410723,0.14853206144962164
size,0.02498538683146889,0.1545338463184756,0.16168229437567366,0.8715560481180434,0.02498538683146889,0.1545338463184756,0.16168229437567366,0.8715560481180434
treated,0.5650793032654449,0.23213546919737918,2.4342652383939294,0.014922056061165343,0.5650793032654449,0.23213546919737918,2.4342652383939294,0.014922056061165343
