term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,26.43416918053346,11.909447530895562,2.219596594380871,0.026446163668520928,37.98072990320778,14.115432639624629,2.6907237541263065,0.00712972054047567
level_b,0.39533907174835436,0.06398945986639576,6.178190479710047,6.484046632948548e-10,0.3863633315212499,0.08450014497726797,4.572339273798742,4.82309158544858e-06
level_c,0.12607819254944413,0.05057040924085772,2.493121856083001,0.012662538116318567,,,,
