term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,2.821568537696294,1.114792648891662,2.5310254247743074,0.01160986597908046,4.145804679824323,1.0641210297744264,3.895989801745724,0.00010802513673841205
leverage,-0.9215639668109361,2.02658534789175,-0.4547373086308139,0.6494514800487099,-0.011473681197458063,1.8348844850398305,-0.006253080938339832,0.9950127322523865
post,2.1627833659113094,0.14406911008657966,15.012124143833226,6.713125201483477e-44,2.346772830476638,0.14718798456883983,15.944051665297804,1.74932039011918e-48
size,0.6561410680637891,0.09573621798391077,6.853634725512751,1.687663839496598e-11,0.5619511985895542,0.0912462407569636,6.158623017536951,1.2920499423330104e-09
