date,prediction,signal,decile
2021-04-30,1.5178165996006987,1.0,10
2021-10-31,1.3558771288555902,1.0,10
2023-02-28,1.2665853709863324,1.0,10
2021-03-31,1.2442724216846748,1.0,10
2023-08-31,0.9464044059430607,1.0,10
2024-01-31,0.8357869436683135,1.0,10
2023-11-30,0.6625858317039737,1.0,10
2024-07-31,0.6592843047895645,1.0,10
2023-03-31,0.6324184329990532,1.0,9
2023-07-31,0.6283597314749995,1.0,9
2022-01-31,0.608581558336784,1.0,9
2022-08-31,0.6069856980475317,1.0,9
2019-01-31,0.575748530352665,1.0,9
2023-01-31,0.5442607115578432,1.0,9
2021-05-31,0.5440504223966168,1.0,9
2019-05-31,0.49204092865576815,1.0,8
2021-12-31,0.4744243234479139,1.0,8
2019-02-28,0.457964498753317,1.0,8
2023-12-31,0.4121580063616364,1.0,8
2024-05-31,0.40170494130613527,1.0,8
