term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
alpha,0.031610800589121434,0.014461232815061151,2.1858994314924014,0.028822963854786283,0.013287470925468938,0.013219106119629849,1.005171666315438,0.3148141959245131
const,2.5047364281530875,0.33760480794372866,7.419137314450132,1.17885645038056e-13,0.08995761969389811,0.48549887498195365,0.1852890384086717,0.8530023352510548
leverage,-1.3083426853585425,0.6144452902412428,-2.1293070451314917,0.033228865307149406,-1.426600452007488,0.5921800424935748,-2.4090654017996,0.015993431629190407
post,0.5479352957482319,0.044710151579557315,12.255277076688834,1.5741040734793238e-34,0.4104621486128731,0.04773914040022276,8.598021354631635,8.110221051880387e-18
size,-0.09062564165482011,0.029222595340214836,-3.1012181019426817,0.0019272627985947278,0.15095685269459938,0.045655717890824475,3.306417239031904,0.0009449726093406387
treated,,,,,0.4284772484274677,0.06358206027220929,6.738964522273404,1.5951934243069248e-11
