date,regime_0_prob,regime_1_prob,regime_2_prob
2005-01-31T00:00:00,0.7028992442609218,0.08511179901291634,0.21198895672616236
2005-02-28T00:00:00,0.8048184069028879,0.10331575084394665,0.09186584225316609
2005-03-31T00:00:00,0.8102717796276824,0.11242180300236927,0.0773064173699489
2005-04-30T00:00:00,0.7898251478943976,0.08657000896438248,0.12360484314122026
2005-05-31T00:00:00,0.7789706756827296,0.1371427372768128,0.0838865870404578
2005-06-30T00:00:00,0.6321728398727551,0.33063474904877066,0.03719241107847442
2005-07-31T00:00:00,0.4084826498038844,0.5575563290147911,0.033961021181324415
2005-08-31T00:00:00,1.875457293883696e-05,0.9829667617067623,0.01701448372029881
2005-09-30T00:00:00,0.006371390573335016,0.32956469013484985,0.6640639192918151
2005-10-31T00:00:00,0.36598902259957156,0.2912537134253895,0.3427572639750391
2005-11-30T00:00:00,0.4899170737843963,0.3670395215233808,0.14304340469222293
2005-12-31T00:00:00,0.492814709055874,0.41137271057383495,0.09581258037029113
2006-01-31T00:00:00,0.40337355045246825,0.5254723746789763,0.07115407486855538
2006-02-28T00:00:00,0.32282063524481364,0.5598758114098709,0.11730355334531546
2006-03-31T00:00:00,0.2624574024143775,0.42373926671702555,0.3138033308685969
2006-04-30T00:00:00,0.1869847874484949,0.6900033756992295,0.12301183685227568
2006-05-31T00:00:00,0.00831776507055929,0.9327672634009633,0.05891497152847744
2006-06-30T00:00:00,0.012599358866979425,0.5782165762217449,0.40918406491127557
2006-07-31T00:00:00,0.019156969914892928,0.37558796862018246,0.6052550614649248
2006-08-31T00:00:00,0.03918839669319456,0.7169521998973951,0.24385940340941045
2006-09-30T00:00:00,0.002053341323457154,0.7454681814581655,0.2524784772183775
2006-10-31T00:00:00,6.292369746553329e-05,0.09441526429385694,0.9055218120086777
2006-11-30T00:00:00,0.0001998679699469173,0.05647234987419135,0.9433277821558621
2006-12-31T00:00:00,0.06349098636289864,0.531967804859987,0.40454120877711464
