term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,3.341095532186894,0.8086999905903781,4.1314400532486495,4.080718018650842e-05,3.568618913386441,0.714692104472696,4.9932256017007335,7.657620362255813e-07
endogenous_x,,,,,0.6425269567205819,0.05712395103890939,11.247943201319028,0.0
leverage,-0.998291315724704,1.4273865574025724,-0.6993839969610638,0.4845646097449108,-1.2058791070741712,1.264695271226888,-0.9534938055902914,0.3406982311003932
post,2.1859607108280477,0.10251841357115744,21.322615466642826,0.0,2.106593629796464,0.09222246600690202,22.842521144888973,0.0
size,0.6031223285482474,0.06644184293257197,9.077447312235481,0.0,0.588276797657442,0.06061509674735552,9.705120163535943,0.0
