term,coefficient,std_error,t_stat,p_value
const,0.08995761969389811,0.48549887498195365,0.1852890384086717,0.8530023352510548
size,0.15095685269459938,0.045655717890824475,3.306417239031904,0.0009449726093406387
leverage,-1.426600452007488,0.5921800424935748,-2.4090654017996,0.015993431629190407
post,0.4104621486128731,0.04773914040022276,8.598021354631635,8.110221051880387e-18
treated,0.4284772484274677,0.06358206027220929,6.738964522273404,1.5951934243069248e-11
alpha,0.013287470925468938,0.013219106119629849,1.005171666315438,0.3148141959245131
