term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,6.463380218727497,3.3642664872420562,1.9211855669691669,0.07392033372166917,0.1797287747885273,4.5372090829097536,0.03961218703046094,0.9689616585366889
leverage,-1.7072591359328855,9.389379593800228,-0.18182874798886417,0.8581515001598519,-2.109415946462011,7.579611791925759,-0.2783013173193227,0.7848491952375234
size,0.4179065097392936,0.19933962902050834,2.096454738040567,0.053410244579970456,1.044248721294258,0.3610483740440981,2.8922681733686866,0.011821269910392118
treated,,,,,0.9169732010637386,0.47273839661365363,1.939705358465174,0.07283477566131324
