term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,3.341095532186896,0.8086999905902925,4.131440053249089,3.604977093413951e-05,3.341095532186896,0.8086999905902925,4.131440053249089,3.604977093413951e-05
leverage,-0.9982913157246998,1.4273865574024573,-0.6993839969611172,0.48431208611890375,-0.9982913157246998,1.4273865574024573,-0.6993839969611172,0.48431208611890375
post,2.185960710828044,0.10251841357115757,21.322615466642766,7.003304380776171e-101,2.185960710828044,0.10251841357115757,21.322615466642766,7.003304380776171e-101
size,0.6031223285482458,0.06644184293256868,9.077447312235906,1.1115100624843278e-19,0.6031223285482458,0.06644184293256868,9.077447312235906,1.1115100624843278e-19
