term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
const,2.520053952718871,0.3149413944299829,8.00165998274045,1.2275296394954194e-15,2.4068542734958633,0.7327796372005612,3.284553979543934,0.0010214392958801382
leverage,-1.340217786529704,0.5746773799716417,-2.3321220448868876,0.019694271639932835,-1.1098340991409006,1.333351121249442,-0.8323644698336545,0.4052032506782923
post,0.5488273668267841,0.04204009007591586,13.05485706228777,5.96218309071694e-39,0.5428864330656369,0.09498993999499429,5.715199242090747,1.0957556096412028e-08
size,-0.09104835064782785,0.02729570262020894,-3.3356294913770896,0.0008510650756556517,-0.08776222506782391,0.0630504709706477,-1.3919360746516936,0.16394175656182253
